	texto	texto_modificado
9555	"4245	""-mala atención del personal en gral"	malo atención personal gral
9556	-no respetan las horas de atención	no respetar hora atención
9557	-mucha espera (horas) en emergencia	mucha espera  hora  emergencia
9558	-no dan la medicación adecuada (solo paracetamol, ibuprofeno, tramadol)	no dar medicación adecuado  sólo paracetamol  ibuprofeno  tramadol
9559	-muchas negligencias médicas impunes	mucho negligencia médico impun
9560	-no hay horas disponibles (hay q' esperar 2 años por lo menos).	no hora disponible  q  esperar  año menos
9561	"-los enfermos"""	lo enfermo
9562	"4246	""-con 6 hijos no me alcanza el sueldo de 300 mil."	con  hijo alcanzar sueldo  mil
9563	-sueldos son muy bajos	sueldo bajo
9564	"-la vida es muy cara"""	la vida cara
9565	"4247	""-mala atención de los profesionales"	malo atención profesional
9566	-mucha espera para la atención	mucho espera atención
9567	-falta de profesionales con vocación	falta profesional vocación
9568	-falta de profesionales de especialidad en las comunas	falta profesional especialidad comuna
9569	"-muchos profesionales recién egresados haciendo la práctica"""	mucho profesional recién egresado práctica
9570	"4248	"". aumento de las pensiones, para una mayor calidad de vida."	aumento pensión  mayor calidad vida
9571	". búsqueda de un sistema equitativo."""	búsqueda sistema equitativo
9572	"4249	""modificar el dl 3500 en cuanto a esperanza de vida menos ganancias afp."	modificar dl  cuanto esperanza vida menos ganancia afp
9573	"igualdad en la educación."""	igualdad educación
9574	"4250	existen muchas trabas y gente asinada a causa de la nula o pocas viviendas en cada región"	existir traba gente asinado causa nulo vivienda cada región
9575	"4251	""porque cada dia hay menos trabajo que respeten el derecho del trabajador."	cada día menos trabajo respetar derecho trabajador
9576	"extension de jornada laboral"""	extension jornada laboral
9577	"4252	""sueldo digno ( mala proporsionalidad sueldo)"	sueldo digno  malo proporsionalidad sueldo
9578	horario digno (vida familiar)	horario digno  vida familiar
9579	reconocer enfermedades profesional (autistas-voz-lumbago-tendinitis)	reconocer enfermedad profesional  autistasvozlumbagotendinitis
9580	no a la sala cuna universal	sala cuna universal
9581	igualdad de genero en los sueldos	igualdad genero sueldo
9582	jubilación digna por años de servicio	jubilación digno año servicio
9584	"4253	""Sueldo digno (mala proporsión del sueldo)"	sueldo digno  malo proporsión sueldo
9585	en primera: familia	primero  familia
9586	Horario digno (vida familiar, ?).	horario digno  vida familiar
9587	Reconocer enfermedades profesion (autistas - voz - lumbago - tendinitis - ?).	reconocer enfermedad profesión  autista  voz  lumbago  tendinitis
9588	No a la sala cuna universal.	sala cuna universal
9589	Igualdad de género  en los sueldo.	igualdad género sueldo
9590	"Jubilación dignas por años de servicios."""	jubilación digno año servicio
9591	"4254	""necesita arreglar pensiones par alas generaciones que vienen, par atener ua vida digna."	necesitar arreglar pensión par ala generación venir  par atenerse ua vida digno
9593	"4255	""-las personas deben tener una atención medica eficaz y para todos."	la persona atención medico eficaz
9594	"-igualitaria para todo sector social"""	igualitario sector social
9595	"4256	todos deben acceder de forma gratuita a la educación de todos los niveles. no debe existir la educación privada agranda demaciado las brechas sociales desde pequeños la psu no debe existir porque deja fuera a jovenes que quieren estudiar"	acceder forma gratuito educación nivel  existir educación privado agrandar demaciado brecha social pequeño psu existir dejar joven querer estudiar
9596	"4257	los participantes manifiestan la urgente necesidad de modificar la constitución ya que filen que es muy antigua y autoritaria y que pudiere a una minoria y no a la mayoria"	participante manifestar urgente necesidad modificar constitución filar antiguo autoritario minoria mayoria
9597	"4258	""se arto viviendo    , no pueden acceder a   o , dado el valor de las verduras en magallanes."	ar vivir  acceder  dar valor verdura magallan
9598	"deben arreglarlas, unos dicen que si otros que no y no se ponen de acuerdo."""	arreglar  decir si poner acuerdo
9599	"4259	""se arto vivienda frecuente, no puedes acceder a frutas o verduras, dado el valor de las verduras en regulación."	ar vivienda frecuente  acceder fruta verdura  dar valor verdura regulación
9600	"deben arreglarlas, unas dicen que si otros que no y no se ponen de acuerdo"""	arreglar  decir si poner acuerdo
9601	"4260	""- aumentar pensión solidaria."	aumentar pensión solidario
9602	- pensiones dignas.	pensión digno
9603	"- creen que existen conflictos de interés entre las afp´s y los políticos."""	creer existir conflicto interés afp´ político
9604	"4261	""escasez de becas"	escasez beca
9605	la centralización de universidades elevan los costos y en especial al pueblo rural.	centralización universidad elevar costo especial pueblo rural
9606	"deberia existir gratuidad en educación superior para sectores vulnerables del país bajo condiciones entre algunas: promedio de notas"""	existir gratuidad educación superior sector vulnerable país bajo condición alguno  promedio nota
9607	"4262	""- las forestales estan acabando el agua."	forestal acabar agua
9608	- no existe regulación.	existir regulación
9609	"- es preocupante en especial para sector rural."""	preocupante especial sector rural
9610	"4263	""que existe una ley que se haga cargo de los enfermos graves"	existir ley cargo enfermo grave
9611	"desigualdad. mas baratos los medicamentos"""	desigualdad  barato medicamento
9612	"4264	""-burocratización del servicio de salud, cargos por meritocracia y capacidades para el área requerida."	burocratización servicio salud  cargo meritocracia capacidad área requerido
9613	-funcionarios con el vocación servicio porque el trato es precario.	funcionario vocación servicio trato precario
9614	-los recursos para la atención	lo recurso atención
9615	-garantizar el acceso a la salud	garantizar acceso salud
9616	-mas médicos y especialistas (optimizar servicios)	mas médico especialista  optimizar servicio
9618	"4265	se debería hacer la salud igualitaria, por que todo deberiamos tener el mismo derecho a salud digna, por que aunque no tengamos el mismo dinero para pagar, todos merecemos lo mejor"	salud igualitario  mismo derecho salud digno  aunque mismo dinero pagar  merecer mejor
9619	"4266	en muchos casos son indiganas para sus ultimos años de vida y no alcanzan a sustentar necesidades basicas."	caso indigano ultimo año vida alcanzar sustentar necesidad basico
9620	"4267	- Mejorar el dialogo entre ciudadanos y politicos que se expliquen de mejor forma hacia las personas"	mejorar dialogo ciudadano politico explicar mejor forma hacia persona
9621	"4268	""creacion de una universidad estatal que no lucre con la educacion"	creación universidad estatal lucrar educación
9622	"ampliar el acceso para la clase media en forma real a la educacion universitaria """	ampliar acceso clase medio forma real educación universitario
9623	"4269	base de toda organización social que nos permite formarnos tanto como personas y como ciudadanos cultos y responsables."	base organización social permitir formar persona ciudadano culto responsable
9624	"4270	la crisis climática requiere de estos recursos, por lo cual no deberian estar limitados, es un derecho para nosotros tenerlas"	crisis climático requerir recurso  limitado  derecho
9625	"4271	dar facilidades de estudios a los extranjeros, buscar otras instancias de estudio luego de su trabajo"	dar facilidad estudio extranjero  buscar instancia estudio luego trabajo
9626	"4272	""indigna. porque la gente se muere esperando atención"	indignar  gente morir esperar atención
9627	- falta de insumo. falta etica	falta insumo  faltar etica
9628	"profesional- falta de empatía para con el enfermo."""	profesional falta empatía enfermo
9629	"4273	no es posible que el sistema de pensiones se enriquezca a costa de todos los cotizantes."	posible sistema pensión enriquecer costa cotizante
9630	"4274	""mejorar la mala calidad de salud"	mejorar malo calidad salud
9631	altos precios de los fármacos	alto precio fármaco
9632	tener más especialistas	especialista
9633	"resolver listas de espera"""	resolver lista espera
9634	"4275	que no existan más isapres que todos se atiendan en el mismo sector y que sea un derecho y no un servicio"	existir isapre atender mismo sector derecho servicio
9635	"4276	""los politicos ganan mucho, existe desigualdad."	politico ganar  existir desigualdad
9636	"subir el sueldo minimo, no pueden ganar más dinero por apretar un boton y menos por acarriar piedras"""	subir sueldo mínimo  ganar dinero apretar boton menos acarriar piedra
9637	"4277	dos agendas sociales una con soluciones inmediatas y otra con soluciones que apunte a la igualdad en la distribución de las riquezas"	dos agenda social solución inmediato solución apuntar igualdad distribución riqueza
9638	"4278	cuidado del agua por 1/2 de empresas. la oferta a cada persona falta de agua en ganadería y agricultura."	cuidado agua  empresa  oferta cada persona falta agua ganadería agricultura
9639	"4279	""- es muy cara la salud en chile (privatizada)"	cara salud chile  privatizado
9640	- ampliar cobertura de las enfermedades	ampliar cobertura enfermedad
9641	- medicamentos muy caros	medicamento caro
9642	"- mejorar la salud publica"""	mejorar salud publica
9643	"4280	 por que el standar de vida es muy cara y el dinero es menor a gastos básicos"	standar vida cara dinero menor gasto básico
9644	"4281	mejorar sueldos a los docentes. reeconocer labor docente. formación docente para formar ciudadanos respetuosos. etica profesional orientación educacional"	mejorar sueldo docente  reeconocer labor docente  formación docente formar ciudadano respetuoso  etica profesional orientación educacional
